id;user_id;email;status;created_at;updated_at
1;61836;QuangLc.Nguyn97@gmail.com;53127;2022-01-28;2022-01-28
2;20505;PhngNhung_H@gmail.com;96308;2022-01-28;2022-01-28
3;10407;ThyVy.Trn60@hotmail.com;39536;2022-01-28;2022-01-29
4;98624;TTm64@yahoo.com;16371;2022-01-29;2022-01-28
5;20124;KiuLoan.Nguyn7@yahoo.com;79058;2022-01-28;2022-01-28
6;50034;MThun_ng@gmail.com;13413;2022-01-28;2022-01-28
7;69347;TrungHi0@gmail.com;79817;2022-01-29;2022-01-29
8;62491;TngMinh9@yahoo.com;75592;2022-01-28;2022-01-28
9;241;KhiTun.Dng@gmail.com;18264;2022-01-28;2022-01-28
10;29685;DHng14@yahoo.com;4929;2022-01-28;2022-01-29
